epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6838,1.21832,3.19223,0.00503,0.07598,0.5686,0.05131,0.0288,1.00709,3.03171,0.00531,0.0005,0.0005,0.0005
2,114.266,0.96212,2.51982,0.00375,0.08314,0.62216,0.28167,0.17811,0.88228,2.5918,0.00559,0.0010099,0.0010099,0.0010099
3,162.06,0.91083,1.88615,0.00383,0.74671,0.52384,0.65466,0.53894,0.7945,1.72088,0.0048,0.00150951,0.00150951,0.00150951
4,210.107,0.87277,1.50682,0.00374,0.78893,0.63096,0.73679,0.55417,1.05992,1.44592,0.00603,0.0019406,0.0019406,0.0019406
5,258.318,0.96349,1.38598,0.00409,0.75622,0.68049,0.77566,0.6339,0.87737,1.96298,0.00485,0.0019208,0.0019208,0.0019208
6,310.203,0.88114,1.28115,0.00349,0.74237,0.68075,0.77519,0.63457,0.91395,2.07237,0.00511,0.001901,0.001901,0.001901
7,358.642,0.91996,1.32427,0.00361,0.81105,0.71607,0.81054,0.69747,0.80661,1.42512,0.005,0.0018812,0.0018812,0.0018812
8,405.17,0.89292,1.25985,0.00387,0.85449,0.72267,0.82382,0.68664,0.87479,1.22051,0.00517,0.0018614,0.0018614,0.0018614
9,450.69,0.8834,1.18265,0.00367,0.80357,0.70653,0.81631,0.69978,0.78741,0.92218,0.00511,0.0018416,0.0018416,0.0018416
10,497.878,0.83431,1.10525,0.00345,0.7058,0.79206,0.82589,0.72956,0.73563,0.85992,0.00454,0.0018218,0.0018218,0.0018218
11,544.444,0.81724,1.08032,0.00349,0.83534,0.81514,0.85845,0.68813,0.95374,0.86775,0.00538,0.001802,0.001802,0.001802
12,590.883,0.78559,1.06041,0.00333,0.85904,0.7821,0.84922,0.71791,0.82268,0.88367,0.00431,0.0017822,0.0017822,0.0017822
13,638.181,0.83436,1.02335,0.00344,0.8337,0.80411,0.85528,0.72936,0.8142,0.85095,0.00472,0.0017624,0.0017624,0.0017624
14,685.86,0.91181,1.01766,0.00376,0.88203,0.74321,0.85791,0.69719,0.95134,0.83326,0.00558,0.0017426,0.0017426,0.0017426
15,732.332,0.78189,0.89571,0.00321,0.87396,0.72267,0.86415,0.72357,0.84851,0.79827,0.00493,0.0017228,0.0017228,0.0017228
16,778.633,0.79048,0.89782,0.00357,0.84813,0.73342,0.85972,0.73254,0.80599,0.79655,0.005,0.001703,0.001703,0.001703
17,824.877,0.80654,0.87754,0.00332,0.84091,0.7989,0.8691,0.74107,0.79791,0.7401,0.00471,0.0016832,0.0016832,0.0016832
18,872.368,0.82958,0.87001,0.00328,0.84559,0.81878,0.87122,0.73455,0.84477,0.73757,0.005,0.0016634,0.0016634,0.0016634
19,918.929,0.72279,0.83008,0.00309,0.89781,0.78797,0.88207,0.76805,0.73341,0.72051,0.00432,0.0016436,0.0016436,0.0016436
20,966.639,0.73162,0.80862,0.00282,0.85638,0.83125,0.89903,0.78691,0.7088,0.67013,0.00423,0.0016238,0.0016238,0.0016238
21,1015.38,0.65702,0.77607,0.00263,0.88632,0.85805,0.90746,0.80038,0.66337,0.65896,0.00382,0.001604,0.001604,0.001604
22,1062.07,0.71643,0.82332,0.00313,0.86452,0.82685,0.90344,0.78914,0.71012,0.66447,0.00395,0.0015842,0.0015842,0.0015842
23,1109.49,0.72839,0.78506,0.00302,0.89656,0.75715,0.88382,0.77719,0.68791,0.67057,0.00407,0.0015644,0.0015644,0.0015644
24,1157.13,0.69219,0.75396,0.00278,0.89095,0.75275,0.88526,0.80816,0.6053,0.66574,0.00381,0.0015446,0.0015446,0.0015446
25,1217.82,0.64682,0.72529,0.00269,0.90386,0.77843,0.89161,0.79056,0.64077,0.68362,0.00365,0.0015248,0.0015248,0.0015248
26,1269.28,0.64659,0.72952,0.00275,0.8414,0.82392,0.89623,0.79074,0.66941,0.67236,0.00347,0.001505,0.001505,0.001505
27,1319.75,0.63067,0.71096,0.00266,0.81011,0.87954,0.89174,0.80013,0.62863,0.67767,0.00375,0.0014852,0.0014852,0.0014852
28,1377.64,0.63651,0.6964,0.00259,0.81635,0.87161,0.89453,0.81469,0.58024,0.65435,0.00329,0.0014654,0.0014654,0.0014654
29,1432.18,0.60572,0.6827,0.00259,0.8288,0.85246,0.8989,0.80105,0.62587,0.66041,0.00345,0.0014456,0.0014456,0.0014456
30,1482.84,0.6256,0.68298,0.00261,0.79893,0.85033,0.89558,0.8206,0.57573,0.639,0.00342,0.0014258,0.0014258,0.0014258
31,1533.6,0.59129,0.68382,0.0027,0.84708,0.83315,0.90212,0.83239,0.54926,0.61051,0.00327,0.001406,0.001406,0.001406
32,1581.43,0.63576,0.67996,0.00256,0.89667,0.85033,0.91619,0.83447,0.55931,0.59005,0.00326,0.0013862,0.0013862,0.0013862
33,1632.51,0.61825,0.66602,0.00285,0.91817,0.84795,0.92001,0.82468,0.61204,0.59287,0.00362,0.0013664,0.0013664,0.0013664
34,1688.59,0.5725,0.62693,0.00248,0.88396,0.85253,0.91349,0.82865,0.5942,0.58926,0.00362,0.0013466,0.0013466,0.0013466
35,1736.2,0.59465,0.63538,0.00258,0.93136,0.79636,0.9155,0.83084,0.59856,0.58827,0.00346,0.0013268,0.0013268,0.0013268
36,1779.38,0.55956,0.60966,0.00258,0.85224,0.85901,0.91561,0.83708,0.57013,0.57577,0.00333,0.001307,0.001307,0.001307
